Organization Name,Total Funding Amount Currency (in USD),Funding Type,stagename,Analise descarte,,
Juntos Campus,"$1,230,757",Series A,,Não tivemos acesso,,
Topway,"$1,181,978",Series A,,Não tivemos acesso,,
Neomed,"$1,146,425",Series A,Registered,Não tivemos acesso,,
Fractal Engenharia,"$1,085,538",Series A,Zero,Não tivemos acesso,,
SciCrop,"$1,003,694",Series A,Discard,Indefinido,,
BreativeMind,"$1,000,000",Series A,,Não tivemos acesso,,
Veek,"$1,000,000",Series A,Discard,Indefinido,,
Alicerce,"$1,000,000",Series A,Zero,Não tivemos acesso,,
Viridis Energy,"$955,472",Series A,,Não tivemos acesso,,
Mereo,"$952,562",Series A,Discard,Indefinido,,
Decision6,"$931,776",Series A,Registered,Não tivemos acesso,,
Sellbie,"$911,338",Series A,Discard,Indefinido,,
iClubs,"$910,183",Series A,,Não tivemos acesso,,
DeviceLab,"$900,629",Series A,,Não tivemos acesso,,
Justto,"$873,622",Series A,P.Comitê 02,Dúvida,,
Carenet Longevity,"$865,763",Series A,Discard,Indefinido,,
BluePex,"$850,220",Series A,,Não tivemos acesso,,
Playmove,"$825,788",Series A,Zero,Não tivemos acesso,,
Neomode,"$814,323",Series A,Discard,Indefinido,,
iFriend,"$813,018",Series A,Discard,Indefinido,,
VarejOnline,"$799,648",Series A,Discard,Dúvida,,
Configr,"$700,930",Series A,Discard,Indefinido,,
OneGrid,"$536,250",Series A,Discard,Indefinido,,
Brasol,"$250,000",Series A,,Não tivemos acesso,,
RockFunnels,"$200,000",Series A,P.Comitê 02,Dúvida,,
Grupo Bright,"$185,622",Series A,,Não tivemos acesso,,
Spectra Mind,"$150,000",Series A,,Não tivemos acesso,,
Real Fluency,"$115,000",Series A,,Não tivemos acesso,,
ZionTech,"$100,000",Series A,,Não tivemos acesso,,
SentientAI,"$100,000",Series A,,Não tivemos acesso,,
EasyMind,"$100,000",Series A,,Não tivemos acesso,,
DrawPics,"$100,000",Series A,,Não tivemos acesso,,
