,Organization Name,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised (in USD),Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location,Year,Time Diff
6782,Miggos,500000.0,Pre-Seed,"Apparel, E-Commerce, Fashion, Online Portals, Shopping, Wholesale",2022-03-22,,Chaos Ventures,Seed,500000.0,,Yes,Miggos is an online clothing store that sells apparel for men and women.,https://miggos.com,Less than $1M,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2022,
6783,Miggos,500000.0,Pre-Seed,"Apparel, E-Commerce, Fashion, Online Portals, Shopping, Wholesale",2022-03-22,,Y Combinator,Seed,500000.0,,Yes,Miggos is an online clothing store that sells apparel for men and women.,https://miggos.com,Less than $1M,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2022,
6784,Milênio Bus,,Pre-Seed,"Artificial Intelligence (AI), Computer Vision, Internet of Things, Public Transportation, Software",2018-04-07,"BMG UpTech, Bossanova Investimentos",BMG UpTech,Seed,,,Yes,"Milênio Bus integrates a hardware, application, and software capable of knowing the stocking in buses, in real time.",http://mileniobus.com.br/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2018,
6785,Milênio Bus,,Pre-Seed,"Artificial Intelligence (AI), Computer Vision, Internet of Things, Public Transportation, Software",2018-04-07,"BMG UpTech, Bossanova Investimentos",Bossanova Investimentos,Seed,,,Yes,"Milênio Bus integrates a hardware, application, and software capable of knowing the stocking in buses, in real time.",http://mileniobus.com.br/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2018,
6786,Mimic,9104515.0,Seed,"Delivery, Food and Beverage, Hospitality",2019-05-08,,Canary,Seed,,,Yes,Mimic will reinvent the food delivery industry in LATAM.,http://www.mimic.com.br,,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2019,
6787,Mimic,9104515.0,Seed,"Delivery, Food and Beverage, Hospitality",2019-05-08,,GeNi VC,Seed,,,Yes,Mimic will reinvent the food delivery industry in LATAM.,http://www.mimic.com.br,,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2019,
6788,Mimic,9104515.0,Seed,"Delivery, Food and Beverage, Hospitality",2019-05-08,,Rafael Duton,Seed,,,Yes,Mimic will reinvent the food delivery industry in LATAM.,http://www.mimic.com.br,,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2019,
6789,Mimic,9104515.0,Seed,"Delivery, Food and Beverage, Hospitality",2019-05-08,,Valor Capital Group,Seed,,,Yes,Mimic will reinvent the food delivery industry in LATAM.,http://www.mimic.com.br,,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2019,
6790,Mimic,9104515.0,Seed,"Delivery, Food and Beverage, Hospitality",2019-12-15,monashees,Canary,Seed,9104514.0,,Yes,Mimic will reinvent the food delivery industry in LATAM.,http://www.mimic.com.br,,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2019,221.0
6791,Mimic,9104515.0,Seed,"Delivery, Food and Beverage, Hospitality",2019-12-15,monashees,Dan Rumennik,Seed,9104514.0,,Yes,Mimic will reinvent the food delivery industry in LATAM.,http://www.mimic.com.br,,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2019,221.0
6792,Mimic,9104515.0,Seed,"Delivery, Food and Beverage, Hospitality",2019-12-15,monashees,monashees,Seed,9104514.0,,Yes,Mimic will reinvent the food delivery industry in LATAM.,http://www.mimic.com.br,,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2019,221.0
6793,Mimic,9104515.0,Seed,"Delivery, Food and Beverage, Hospitality",2019-12-15,monashees,Valor Capital Group,Seed,9104514.0,,Yes,Mimic will reinvent the food delivery industry in LATAM.,http://www.mimic.com.br,,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2019,221.0
6794,Mimic,9104515.0,Series A,"Delivery, Food and Beverage, Hospitality",2021-03-01,,Norte Ventures,Early Stage Venture,,,Yes,Mimic will reinvent the food delivery industry in LATAM.,http://www.mimic.com.br,,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2021,442.0
6795,Mimic,9104515.0,Series A,"Delivery, Food and Beverage, Hospitality",2021-03-01,,Unblock Ventures,Early Stage Venture,,,Yes,Mimic will reinvent the food delivery industry in LATAM.,http://www.mimic.com.br,,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2021,442.0
6797,Mimo Live Sales,,Seed,"E-Commerce, Retail, SaaS",2023-05-04,,Cencosud Ventures,Seed,,,Yes,Mimo Live Sales is a Live Commerce B2B SAAS pioneer in the Latam market,https://mimo.com.br/,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2023,720.0
6798,Mimo Live Sales,,Seed,"E-Commerce, Retail, SaaS",2023-05-04,,LW Ventures,Seed,,,Yes,Mimo Live Sales is a Live Commerce B2B SAAS pioneer in the Latam market,https://mimo.com.br/,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2023,720.0
6799,Mims Bags - Made it Myself,,Seed,"E-Commerce, Fashion, Shopping",2015-06-01,,Triple Seven Investments,Seed,,,Yes,Mims is an e-commerce platform of custom-made leather bags and accessories.,http://www.mimsbags.com,Less than $1M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2015,
6800,Mims Bags - Made it Myself,,Seed,"E-Commerce, Fashion, Shopping",2016-06-01,,Triple Seven Investments,Seed,,,Yes,Mims is an e-commerce platform of custom-made leather bags and accessories.,http://www.mimsbags.com,Less than $1M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2016,366.0
6801,Mind Lab,5000000.0,Series A,"E-Learning, Education, Mobile, Software, Training",2009-05-01,,monashees,Early Stage Venture,,,Yes,Mind Lab creates strategy games to develop the thinking abilities and life skills of K-12 students.,http://www.mindlab.com.br,Less than $1M,Late Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2009,
6802,Mind Lab,5000000.0,Series B,"E-Learning, Education, Mobile, Software, Training",2011-06-01,,Accel,Early Stage Venture,,,Yes,Mind Lab creates strategy games to develop the thinking abilities and life skills of K-12 students.,http://www.mindlab.com.br,Less than $1M,Late Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2011,761.0
6803,Mind Lab,5000000.0,Series B,"E-Learning, Education, Mobile, Software, Training",2011-06-01,,monashees,Early Stage Venture,,,Yes,Mind Lab creates strategy games to develop the thinking abilities and life skills of K-12 students.,http://www.mindlab.com.br,Less than $1M,Late Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2011,761.0
6804,Mind Lab,5000000.0,Series C,"E-Learning, Education, Mobile, Software, Training",2012-07-17,Meritech Capital Partners,Accel,Late Stage Venture,,,Yes,Mind Lab creates strategy games to develop the thinking abilities and life skills of K-12 students.,http://www.mindlab.com.br,Less than $1M,Late Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2012,412.0
6805,Mind Lab,5000000.0,Series C,"E-Learning, Education, Mobile, Software, Training",2012-07-17,Meritech Capital Partners,Meritech Capital Partners,Late Stage Venture,,,Yes,Mind Lab creates strategy games to develop the thinking abilities and life skills of K-12 students.,http://www.mindlab.com.br,Less than $1M,Late Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2012,412.0
6806,Mind Lab,5000000.0,Series C,"E-Learning, Education, Mobile, Software, Training",2012-07-17,Meritech Capital Partners,MHS Capital,Late Stage Venture,,,Yes,Mind Lab creates strategy games to develop the thinking abilities and life skills of K-12 students.,http://www.mindlab.com.br,Less than $1M,Late Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2012,412.0
6807,Mind Lab,5000000.0,Debt Financing,"E-Learning, Education, Mobile, Software, Training",2015-12-22,,Inter American Development Bank,,5000000.0,,No,Mind Lab creates strategy games to develop the thinking abilities and life skills of K-12 students.,http://www.mindlab.com.br,Less than $1M,Late Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2015,1253.0
6808,MindMiners,1559767.0,Pre-Seed,"Analytics, Business Intelligence, Consumer Research, Digital Marketing, Market Research",2014-11-01,,Darwin Startups,Seed,201972.0,,Yes,MindMiners offers a human analytics platform for strategic marketing decisions,https://mindminers.com/,,Seed,3,"São Paulo, Sao Paulo, Brazil, South America",2014,
6810,MindMiners,1559767.0,Seed,"Analytics, Business Intelligence, Consumer Research, Digital Marketing, Market Research",2021-01-30,KPTL,BR Angels,Seed,1098438.0,,Yes,MindMiners offers a human analytics platform for strategic marketing decisions,https://mindminers.com/,,Seed,3,"São Paulo, Sao Paulo, Brazil, South America",2021,1917.0
6811,MindMiners,1559767.0,Seed,"Analytics, Business Intelligence, Consumer Research, Digital Marketing, Market Research",2021-01-30,KPTL,Criatec Fund,Seed,1098438.0,,Yes,MindMiners offers a human analytics platform for strategic marketing decisions,https://mindminers.com/,,Seed,3,"São Paulo, Sao Paulo, Brazil, South America",2021,1917.0
6812,MindMiners,1559767.0,Seed,"Analytics, Business Intelligence, Consumer Research, Digital Marketing, Market Research",2021-01-30,KPTL,Darwin Startups,Seed,1098438.0,,Yes,MindMiners offers a human analytics platform for strategic marketing decisions,https://mindminers.com/,,Seed,3,"São Paulo, Sao Paulo, Brazil, South America",2021,1917.0
6813,MindMiners,1559767.0,Seed,"Analytics, Business Intelligence, Consumer Research, Digital Marketing, Market Research",2021-01-30,KPTL,KPTL,Seed,1098438.0,,Yes,MindMiners offers a human analytics platform for strategic marketing decisions,https://mindminers.com/,,Seed,3,"São Paulo, Sao Paulo, Brazil, South America",2021,1917.0
6814,Minds Digital,408197.0,Seed,"Artificial Intelligence (AI), Biometrics, Database, Fraud Detection, Information Technology, Intelligent Systems, Software",2022-06-08,BR Angels,BR Angels,Seed,408196.0,,Yes,"Minds Digital assists companies to get data intelligence, voice biometrics and fraud prevention services through artificial intelligence.",https://minds.digital/,Less than $1M,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2022,
6815,Minds Digital,408197.0,Seed,"Artificial Intelligence (AI), Biometrics, Database, Fraud Detection, Information Technology, Intelligent Systems, Software",2022-06-08,BR Angels,Cedro Capital,Seed,408196.0,,Yes,"Minds Digital assists companies to get data intelligence, voice biometrics and fraud prevention services through artificial intelligence.",https://minds.digital/,Less than $1M,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2022,
6816,Mindsight,,Corporate Round,"Artificial Intelligence (AI), Human Resources",2019-12-26,Senior Marketing Systems,Senior Marketing Systems,,,,Yes,Mindsight is an artificial intelligence company.,https://www.mindsight.com.br/,$1M to $10M,,1,"São Paulo, Sao Paulo, Brazil, South America",2019,
6817,MineradorX,,Pre-Seed,"B2B, Information and Communications Technology (ICT), Software Engineering, Telecommunications",2016-08-01,,Darwin Startups,Seed,,,Yes,MinderadorX rebuilds the telecom market.,https://mineradorx.com/,,Seed,1,"Florianópolis, Santa Catarina, Brazil, South America",2016,
6820,Minha Escola,103455.0,Pre-Seed,"B2B, EdTech, Education, SaaS, Software",2018-11-30,VENTIUR,VENTIUR,Seed,77596.0,,Yes,Minha Escola is an educational application that provides educational technology online.,https://www.appminhaescola.com/,,Seed,2,"Caxias Do Sul, Rio Grande do Sul, Brazil, South America",2018,
6823,Minha Vida,,Series A,"Consulting, Fitness, Personal Health, Wellness",2012-04-09,Intel Capital,Endeavor Catalyst,Early Stage Venture,,,Yes,"Minha Vida is a wellness company that provides information about healthy diet, physical fitness, and overall well-being.",http://www.minhavida.com.br/,$1M to $10M,Early Stage Venture,1,"São Paulo, Sao Paulo, Brazil, South America",2012,
6824,Minha Vida,,Series A,"Consulting, Fitness, Personal Health, Wellness",2012-04-09,Intel Capital,Intel Capital,Early Stage Venture,,,Yes,"Minha Vida is a wellness company that provides information about healthy diet, physical fitness, and overall well-being.",http://www.minhavida.com.br/,$1M to $10M,Early Stage Venture,1,"São Paulo, Sao Paulo, Brazil, South America",2012,
6825,Minha Visita,46035.0,Pre-Seed,"Application Performance Management, Apps, Business Development, CRM, Productivity Tools, Real Time, SaaS, Sales, Software",2017-11-18,WOW Aceleradora,WOW Aceleradora,Seed,46034.0,529400.0,Yes,Minha Visita is an application that focuses on improving the use of the users' time and income.,https://www.minhavisita.com.br/,$1M to $10M,Seed,1,"Novo Hamburgo, Rio Grande do Sul, Brazil, South America",2017,
6826,Minimal Club,400004.0,Pre-Seed,"Brand Marketing, Consumer Goods, E-Commerce",2023-05-19,Investidores.VC,Investidores.VC,Seed,400004.0,,Yes,Minimal Club is specializing in men's basic T-shirts.,https://minimalclub.com.br,,Seed,1,"Belo Horizonte, Minas Gerais, Brazil, South America",2023,
6827,Mining Rio do Norte,,Secondary Market,"Mining, Mining Technology",2023-04-27,Glencore,Glencore,,,,No,Mining Rio do Norte is a mining company the produces bauxite and raw material for aluminum.,https://mrn.com.br/index.php/pt/,,,1,"Oriximiná, Para, Brazil, South America",2023,
6828,Minu,,Series A,"Advertising, Consumer, CRM, Loyalty Programs, Marketing",2013-04-01,,Redpoint eventures,Early Stage Venture,,,Yes,Minu develops and operates a micro reward platform in Brazil.,http://www.minutrade.com.br,,Early Stage Venture,1,"São Paulo, Sao Paulo, Brazil, South America",2013,
6831,Minuto Seguros,,Series A,"Electronics, Finance, Financial Services, Insurance, Internet",2012-09-20,,Redpoint eventures,Early Stage Venture,,,Yes,Minuto Seguros operates as a multi-channel insurance brokerage company.,http://www.minutoseguros.com.br,$50M to $100M,M&A,4,"São Paulo, Sao Paulo, Brazil, South America",2012,
6832,Minuto Seguros,,Series A,"Electronics, Finance, Financial Services, Insurance, Internet",2013-05-01,,Redpoint eventures,Early Stage Venture,,,Yes,Minuto Seguros operates as a multi-channel insurance brokerage company.,http://www.minutoseguros.com.br,$50M to $100M,M&A,4,"São Paulo, Sao Paulo, Brazil, South America",2013,223.0
6833,Minuto Seguros,,Series B,"Electronics, Finance, Financial Services, Insurance, Internet",2014-06-01,,Redpoint eventures,Early Stage Venture,,,Yes,Minuto Seguros operates as a multi-channel insurance brokerage company.,http://www.minutoseguros.com.br,$50M to $100M,M&A,4,"São Paulo, Sao Paulo, Brazil, South America",2014,396.0
6834,Minuto Seguros,,Venture - Series Unknown,"Electronics, Finance, Financial Services, Insurance, Internet",2019-08-13,,Intact Ventures,,,,Yes,Minuto Seguros operates as a multi-channel insurance brokerage company.,http://www.minutoseguros.com.br,$50M to $100M,M&A,4,"São Paulo, Sao Paulo, Brazil, South America",2019,1899.0
6835,Minuto Seguros,,Venture - Series Unknown,"Electronics, Finance, Financial Services, Insurance, Internet",2019-08-13,,Redpoint eventures,,,,Yes,Minuto Seguros operates as a multi-channel insurance brokerage company.,http://www.minutoseguros.com.br,$50M to $100M,M&A,4,"São Paulo, Sao Paulo, Brazil, South America",2019,1899.0
6836,MinutoMED,,Seed,"Health Care, Medical, Primary and Urgent Care",2016-01-01,Rigi Ventures,Rigi Ventures,Seed,,,Yes,"MinutoMED MinutoMED operates urgent care clinics including medical consultations, check-ups, simple procedures and exams.",http://www.minutomed.com.br/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2016,
